level,word,pronounciation,meaning,Example
Level 1,tower,tow-uh,"noun: a tall, narrow structure that is usually part of a building",The castle had a tower where weapons were stored.
Level 1,track,trak,noun: a path or course laid out for racing,We hoped it wouldn't rain because the racing track is more dangerous when it's wet.
Level 1,trust,trust,verb: to have belief or confidence in someone or something,She's been my friend for many years and I can trust her to help.
Level 1,vase,vahz,noun: a container for flowers,I put some flowers in a vase next to my mother's bed when she wasn't feeling well.
Level 1,vine,vuyn,noun: a climbing plant,We will soon be able to pick grapes from the vine growing over our verandah.
Level 1,wait,wayt,verb: to stay somewhere until something happens that you think is going to,Wait here until I come back.
Level 1,weak,week,adjective: not healthy or strong,He felt very weak while recovering from pneumonia.
Level 1,yelp,yelp,"verb: to give a quick, sharp cry",I couldn't help but yelp when I got stung by a bee.
Level 1,young,yung,adjective: being in the first or early stage of life or growth,The teacher helped the young children across the road.
Level 1,zest,zest,noun: eager enjoyment,She lost her zest for spelling competitions after she made a mistake in `supercalifragilistic'.
Level 1,dance,dans or dahns,"verb: to move your body in time to music, often using special steps or movements",We watched the bride and groom dance at the wedding.
Level 1,paint,paynt,noun: a liquid colouring substance that you can put on a surface to give it colour,We wanted a purple colour for the storm clouds so we mixed the red and blue paint together.
Level 1,part,paht,noun: an actor's role,She tried out for the part of Glinda the Good Witch in the Wizard of Oz production.
Level 1,plot,plot,"noun: the plan, scheme, or main story of a work",The play was such a success because it had an interesting and suspenseful plot.
Level 1,setting,set-ing,"noun: the period or place in which the action of a play, film, etc., takes place",It took a lot of technology and time to create the setting of the movie Avatar.
Level 1,sharp,shahp,noun: a note one semitone above a given note,One of the violinists didn't play the sharp so we all had to start again from the beginning.
Level 1,skill,skil,noun: the ability to do something well,"She has many talents, but her great skill is singing."
Level 1,solo,soh-loh,noun: a musical performance by one person,I was nervous because I was singing a solo in the concert.
Level 1,song,song,noun: a short musical composition with words,"At the concert, Alex sang a song that she had written herself."
Level 1,stage,stayj,"noun: a raised floor, usually in a theatre, on which public performances take place",Yellow tape was stuck on the stage where the actors were supposed to stand.
Level 1,story,staw-ree,noun: something told or written which has either happened in real life or has been made up in someone's mind,We read a short story about pirates at school today.
Level 1,strum,strum,verb: to play an instrument by running your fingers across the strings,The audience fell silent as the musician started to strum his guitar.
Level 1,talent,tal-uhnt,noun: the ability to do something very well,The teacher said that my paintings show a talent for art.
Level 1,title,tuy-tuhl,"noun: the name of a book, film or piece of music",I can't remember the title of the book I'm looking for.
Level 1,tone,tohn,noun: a musical sound,The audience admired the mellow tone of the cello.
Level 1,damper,dam-puh,noun: bread made from flour and water mixed to make a dough and baked in the coals of an open fire,We put the damper in the old iron frying pan and placed it on the coals to cook.
Level 1,dine,duyn,verb: to have your evening meal,We usually dine at eight each evening.
Level 1,fork,fawk,"noun: an instrument with prongs for lifting food, digging the garden, and other things",I'm not very good at using chopsticks so I usually use a fork.
Level 1,jelly,jel-ee,noun: a soft sweet food which sets firm but shakes a little when it is moved,I like the way that jelly wobbles when you try to eat it.
Level 1,lemon,lem-uhn,noun: a yellow fruit with a sour taste,A squeeze of lemon on my fish always makes it taste better.
Level 1,lime,luym,noun: a small greenish-yellow citrus fruit,We could choose between lemon and lime to squeeze over our salad.
Level 1,meat,meet,noun: the flesh of animals when used for food,Some people do not like meat and only eat fruit and vegetables.
Level 1,mince,mins,verb: to cut or chop into very small pieces,We had to mince the garlic before adding it to the pan.
Level 1,mint,mint,noun: a herb with leaves that are used in cooking,My mum always adds a sprig of mint to her water to give it some flavour.
Level 1,plate,playt,"noun: a flat, round dish for food",I always take my plate to the sink once I've finished eating.
Level 1,salad,sal-uhd,"noun: a food made up of raw vegetables such as greens, tomatoes, and celery",I don't like tomatoes so I always pick them out of my salad.
Level 1,wash,wosh,verb: to clean something with water and usually soap,Make sure you wash your hands before you eat.
Level 1,wok,wok,"noun: a large, shallow, round-bottomed, metal pan used especially in Chinese cookery",Stir-fries always taste better when cooked in a wok.
Level 1,creek,kreek,noun: a small river,We like to catch tadpoles in the creek.
Level 1,France,frans or frahns,"noun: a country in western Europe, with coasts on the English Channel, the Atlantic Ocean and the Mediterranean Sea",I tried frogs' legs and snails when I was in France but I didn't really like them.
Level 1,inlet,in-luht,noun: a small narrow bay or cove,We moored the boat in the inlet because it was protected from the wind.
Level 1,Peru,puh-rooh,"noun: a republic in western South America on the Pacific Ocean, bordered by Ecuador, Colombia, Brazil, Bolivia and Chile",Peru was a Spanish colony before claiming independence in 1826.
Level 1,sky,skuy,noun: the area of the clouds or the upper air,We waved goodbye as the plane went up into the sky.
Level 1,soil,soyl,"noun: earth, especially the kind plants can grow in",Mum says the soil in our garden is good for growing tomatoes.
Level 1,storm,stawm,"noun: a violent change in the weather bringing wind, rain, thunder and lightning",The storm suddenly hit and we all raced for cover.
Level 1,thunder,thun-duh,"noun: the loud noise that follows a flash of lightning in a storm, caused by electricity in the air","There was a big flash of lightning, followed by a loud crash of thunder."
Level 1,wild,wuyld,adjective: living or growing in a natural state without human care or interference,Be careful in the forest because wild animals live there.
Level 1,data,day-tuh or dah-tuh,noun: information collected for analysis or reference,We collected data on the insects we found in the school playground and then entered it into the computer.
Level 1,orbit,aw-buht,"noun: the curved path traced by a celestial object or spacecraft, around a star or planet",NASA want to put another space station into orbit but it will be years before it's ready.
Level 1,power,pow-uh,noun: energy or force that can be used for doing work,We lost all electrical power in the blackout.
Level 1,prove,proohv,verb: to show that something is true by presenting convincing facts,The scientist could prove his theory -- he had evidence that could not be disputed.
Level 1,record,rek-awd,noun: a self-contained piece of data on a computer database,Each record had to be entered into the spreadsheet separately.
Level 1,ruler,roohl-uh,"noun: a strip of wood or plastic with a straight edge, used for measuring and drawing straight lines",She needed her ruler to measure the diameter of the circle.
Level 1,scale,skayl,noun: a set of marks along a line used for measuring,In maths we used a scale to measure the height of the cube.
Level 1,space,spays,noun: the continuous openness which exists outside the earth's atmosphere,A rocket was used to launch a satellite into space.
Level 1,unit,yooh-nuht,noun: an amount used in measurement,The gram is the basic unit of weight.
Level 1,volt,vohlt,noun: a measurement of electric force,The remote-controlled car needs a 9 volt battery.
Level 1,wire,wuy-uh,noun: a length of such material used as a conductor of electricity,The electrician found that a frayed wire was the cause of the problem.
Level 1,worm,werm,"noun: a rogue computer program which, once it is loaded on a computer, replicates itself until it takes up all the available memory, bringing the whole system to a standstill",We lost all the data on our computer because it had become infected with a type of program called a worm.
Level 1,golf,golf,noun: an outdoor game in which a small ball is hit with special clubs around a set course,Playing golf is good exercise because it involves a lot of walking.
Level 1,match,mach,noun: a game between two or more people or teams,Today's football match has been cancelled because of the rain.
Level 1,netball,net-bawl,"noun: a game played by two teams of seven players, in which the players must try to throw the ball through a hoop on a pole at the opponents' end of the court",I love playing netball but I have to practise my goal shooting if I ever want to play goal attack.
Level 1,party,pah-tee,"noun: a social gathering, often to celebrate something",I'm having a birthday party next week.
Level 1,point,poynt,noun: a unit for scoring in a game,We only need one more point to win the match.
Level 1,puck,puk,noun: a flat rubber disc used instead of a ball in ice hockey,You don't want to be hit by the puck in ice hockey because it's really hard.
Level 1,race,rayce,noun: a contest of speed,"It was an exciting race, and Tom was the first to reach the finish line."
Level 1,sumo,sooh-moh,noun: a style of Japanese wrestling,Sumo wrestlers are often very large men.
Level 1,team,teem,"noun: a group of people who do an activity together, such as a game or sport",My best friend and I are in the same hockey team.
Level 1,throw,throh,verb: to drive through the air by a sudden movement of the arm,Our neighbour had to throw our ball back over the fence when we hit it into his yard.
Level 1,yoga,yoh-guh,"noun: a set of exercises which involve deep breathing and holding unusual body positions, in order to reach a calm, peaceful state of mind",My mother does yoga to relax.
Level 2,absent,ab-suhnt,adjective: not in a certain place at a given time,My best friend is absent from school today because he's sick.
Level 2,afraid,uh-frayd,adjective: frightened,I was afraid when I heard the strange noises outside.
Level 2,ahead,uh-hed,adverb: in front or forward,I'll run ahead and let them know we're coming.
Level 2,aide,ayd,noun: an assistant,The governor is always accompanied by his aide when he travels.
Level 2,aircraft,air-krahft,"noun: any machine that can fly, such as an aeroplane or helicopter",My grandfather flew several different kinds of aircraft during the Vietnam War.
Level 2,alien,ay-lee-uhn,"noun: in science fiction, a being from outer space","In the book I am reading, an alien flies to earth in a spaceship."
Level 2,allow,uh-low,verb: to give permission for something,I wasn't sure if my mum would allow me to see the movie because it finished so late.
Level 2,already,awl-red-ee,adverb: at an earlier time or sooner than expected,I don't want to go to that movie because I've seen it already.
Level 2,amaze,uh-mayz,verb: to surprise someone a lot,It would amaze my friends if I changed the colour of my hair to green.
Level 2,another,uh-nudh-uh,adjective: second or additional,Could I please have another piece of fruit?
Level 2,appeal,uh-peel,noun: a call for help,Our school made an appeal for more help at the fete.
Level 2,approval,uh-prooh-vuhl,noun: agreement or permission,I'll have to get approval to leave early to catch the train.
Level 2,argue,ah-gyooh,verb: to quarrel or disagree,The two brothers would argue for hours over who had first go on the trampoline.
Level 2,astound,uh-stownd,verb: to overwhelm with amazement,The actors hoped to astound their audiences with their new interpretation of the play.
Level 2,astray,uh-stray,adverb: away from the proper path,He was led astray by the promise of great rewards.
Level 2,awful,aw-fuhl,adjective: very bad or unpleasant,It took weeks to clean up the awful mess left by the flood.
Level 2,balance,bal-uhns,"verb: to be equal to something else, especially in weight","If these two apples weigh the same, the scales will balance."
Level 2,bamboo,bam-booh,noun: a woody plant whose stem is sometimes used for making furniture,We have a chair on our balcony made from bamboo.
Level 2,barren,ba-ruhn,adjective: unable to produce crops,The land was barren after so many years of drought.
Level 2,bashful,bash-fuhl,adjective: very modest or shy,Don't be bashful -- tell them about your award.
Level 2,beneath,buh-neeth,"adverb: below, or underneath",Mia hid beneath the table in a game of hide and seek.
Level 2,bilby,bil-bee,noun: a small bandicoot with big rabbit-like ears,The bilby is quite different in appearance from other types of bandicoot.
Level 2,bombard,bom-bahd or bom-bahd,verb: to attack continuously,We didn't want to bombard the speaker with questions so we limited the question time.
Level 2,brolga,brol-guh,"noun: a large silvery-grey bird with long legs, which is known for its dancing",The brolga is a native Australian bird.
Level 2,burrow,bu-roh,"noun: a hole in the ground dug by an animal, to live and shelter in",The wombat sleeps in a burrow during the day.
Level 2,cadet,kuh-det,"noun: someone who is being trained in a job or an organisation, like the army or a school military group",I started in the army as a cadet but now I'm a sergeant.
Level 2,canal,kuh-nal,noun: an artificial river made for boats to travel along,The farmers used the canal to send their produce to market.
Level 2,cardboard,kahd-bawd,"noun: a type of thick, stiff paper",Molly made a birthday card out of coloured cardboard.
Level 2,cotton,kot-uhn,"noun: a light material made from the soft, white hairs covering the seeds of the cotton plant",Clothes made of cotton are comfortable to wear when it is very hot.
Level 2,coupon,kooh-pon,noun: a ticket or card which you can exchange for goods or money,I was given a coupon for a free popcorn when I bought the movie tickets.
Level 2,curfew,ker-fyooh,noun: an order which says people are not allowed to be out on the streets after a certain time at night,"After the riots, a ten o'clock curfew was enforced."
Level 2,deduce,duh-dyoohs,verb: to reach a decision by reasoning and considering all the facts known to you,The police were able to deduce the identity of the thief.
Level 2,depth,depth,noun: a measure or distance downwards,The new submarine can dive to a depth of almost 500 metres.
Level 2,describe,duh-skruyb,verb: to give a picture of something using written or spoken words,The police asked if I could describe the suspect clearly.
Level 2,downscale,down-skayl,verb: to reduce,I'm going to downscale my involvement with the play because I'm so busy.
Level 2,dual,dyooh-uhl,adjective: having two parts,The machinery performed dual functions -- removing air from the jars and then sealing them.
Level 2,duchess,duch-uhs,noun: the wife or widow of a duke,The Duchess of York works closely with a number of charities.
Level 2,elude,ee-loohd,"verb: to avoid or escape, especially by skill or trickery",To elude the guard they crouched below the wall.
Level 2,emerald,em-ruhld,"noun: a valuable, bright green jewel","The ring featured a single, brilliant emerald."
Level 2,engulf,en-gulf,verb: to swallow up,It didn't take long for the fog to engulf the harbour and make it dangerous to sail.
Level 2,ferret,fe-ruht,noun: an animal with a long thin body used on farms to go down rabbit holes and chase out rabbits,"It's becoming more and more popular to keep a ferret as a pet, even in the city."
Level 2,firebreak,fuy-uh-brayk,noun: a strip of land which has been cleared of grass and trees to stop a fire from spreading,The firebreak was a sensible precaution against bushfires.
Level 2,fireworks,fuy-uh-werks,"plural noun: containers filled with a powder that burns or explodes, giving out brightly coloured sparks",We always enjoy watching the fireworks on New Year's Eve.
Level 2,fluent,flooh-uhnt,adjective: flowing smoothly and easily,She speaks fluent French after living in Paris for a year.
Level 2,fourteen,faw-teen,adjective: amounting to one more than thirteen,There are fourteen children in my dance class.
Level 2,frantic,fran-tik,"adjective: wild with fear, worry, pain or excitement",We were frantic when we couldn't find our dog for two days.
Level 2,funnel,fun-uhl,noun: an open-ended cone used for pouring liquid into a container with a narrow opening,We didn't want to spill any water so we used a funnel to pour it into the bottle.
Level 2,furtive,fer-tiv,adjective: stealthy or sly,The thief took a furtive look to see if anyone was watching.
Level 2,garbage,gah-bij,noun: rubbish or waste material,We picked up the garbage and put it in the bin.
Level 2,garment,gah-muhnt,"noun: a piece of clothing, such as a dress, shirt or coat",He was wearing a very peculiar garment of purple and green satin.
Level 2,growth,grohth,noun: gradual increase or development,He is pleased with the steady growth of his bank account.
Level 2,harness,hah-nuhs,noun: a set of leather straps and metal pieces that fit around a horse's head and body so that it can be ridden or used to pull a vehicle,My horse doesn't mind wearing a harness because he knows we'll be going for a ride.
Level 2,heyday,hay-day,noun: the stage or period of highest success or fullest strength,"In its heyday, this factory employed 600 people."
Level 2,highlight,huy-luyt,"noun: the best, brightest or most outstanding part",The magician's act was the highlight of the party.
Level 2,history,his-tuh-ree,"noun: the events which have happened in the past, or the study of these events",We are studying the history of Japan this term.
Level 2,human,hyooh-muhn,noun: a person,Many of the animals deep in the jungle had never seen a human before.
Level 2,inferno,in-fer-noh,noun: a place that seems like hell because of heat or fire,"When the curtains caught fire, the house quickly became a blazing inferno."
Level 2,intersect,in-tuh-sekt,verb: to cut or divide by passing through or across,I used a ruler to draw a line to intersect the circle.
Level 2,janitor,jan-uh-tuh,noun: a caretaker,I had to get the school janitor to unlock the classroom for me.
Level 2,kneel,neel,verb: to go down on your knees,I had to kneel down to see where my pen had rolled under the desk.
Level 2,landfill,land-fil,"noun: material as garbage, building refuse, etc., deposited under layers of earth to raise the level of the site","After collection, most household rubbish is put into the ground as landfill."
Level 2,leech,leech,noun: a small worm that sucks the blood of humans or animals,We made the leech let go by putting salt on it.
Level 2,leeway,lee-way,"noun: extra space, time or money that allows freedom of action and choice","If we leave a bit earlier, it gives us more leeway to stop for lunch."
Level 2,lethal,lee-thuhl,adjective: causing death,The venom of the funnel-web spider can be lethal.
Level 2,limestone,luym-stohn,"noun: a soft, white, chalky rock",Working with the limestone left a fine white dust all over my clothes.
Level 2,loyal,loy-uhl,adjective: faithful and true,It's no wonder people love dogs so much -- they are such loyal companions.
Level 2,mammal,mam-uhl,noun: an animal whose young feeds on its mother's milk,The blue whale is the largest mammal on earth.
Level 2,mania,may-nee-uh,noun: great enthusiasm or excitement,The whole family shared a mania for football.
Level 2,marine,muh-reen,adjective: having to do with the sea,The ocean is full of many kinds of marine life.
Level 2,massive,mass-iv,"adjective: large, in size or amount",The house was so massive that I got lost trying to find the bathroom.
Level 2,missile,miss-uyl,noun: an object or weapon that can be thrown or shot,My friend made a missile with wet paper and threw it at me.
Level 2,moat,moht,"noun: a deep, wide trench, usually filled with water, surrounding a town or castle to help protect it from invaders in the past","Once the castle's drawbridge was raised, there was no way across the moat."
Level 2,motion,moh-shuhn,noun: the process or power of moving,The motion of tides is a result of the gravitational pull of the moon and the sun on the earth.
Level 2,mulga,mul-guh,noun: a type of wattle tree found in inland Australia,The mulga is a tree that can live in very dry conditions.
Level 2,navigate,nav-uh-gayt,verb: to steer or direct on a course,My grandfather is teaching me how to navigate at night by using the stars.
Level 2,nickname,nik-naym,noun: a name that people who know you sometimes use instead of your real name,His name was Roger but we all called him by his nickname which was Bluey.
Level 2,nostril,noss-truhl,noun: one of the two openings of your nose,"My left nostril was completely blocked up, but I could still breathe a little through my right one."
Level 2,nuzzle,nuz-uhl,verb: to touch or rub with the nose,My dog always greets me with a bark and a nuzzle with his wet nose.
Level 2,peevish,peev-ish,adjective: cross or easily annoyed,"Because I was tired, I was feeling peevish."
Level 2,pillow,pil-oh,noun: a bag filled with soft material to rest your head on when you are in bed,"When I sleep over at a friend's place, I always take my own pillow."
Level 2,practical,prak-tik-uhl,"adjective: having to do with the actual doing of something, rather than with ideas",Part of learning to be a teacher is gaining practical experience in front of a class of students.
Level 2,promise,prom-uhs,"noun: an announcement or statement that you will do, or keep from doing something","If you make a promise, it is very important that you keep it."
Level 2,prompt,prompt,verb: to supply cues to actors from offstage,There is always someone in the wings whose job it is to prompt any actor who forgets their lines.
Level 2,propel,pruh-pel,verb: to drive something forwards,The speedboat had an engine to propel it through the water.
Level 2,quickly,kwik-lee,adverb: with great speed,He had to get dressed quickly because they were running late.
Level 2,quirk,kwerk,noun: a particular habit or way of acting,Whistling when he is nervous is a quirk of his.
Level 2,quiver,kwiv-uh,verb: to shake with small movements,The kitten began to quiver with fear when it heard loud barking.
Level 2,raincoat,rayn-koht,noun: a special coat that you wear when it is raining that stops the rain getting through to your clothes,Don't forget to take your raincoat -- it will probably rain later today.
Level 2,relief,ruh-leef,"noun: freedom or release from pain, unhappiness or worry",She felt great relief from the pain shortly after being administered an anaesthetic.
Level 2,require,ruh-kwuy-uh,verb: to have need of,I require two people to help me.
Level 2,ritual,rich-ooh-uhl,noun: a set procedure for a religious or other ceremony,The bar mitzvah is a ritual of the Jewish religion.
Level 2,scandal,skan-duhl,noun: an event that shocks people because they think it involves wrong behaviour,The bribery scandal threatened to bring down the government.
Level 2,scarlet,skah-luht,noun: a bright red colour tending towards orange,The scarlet of the bird's feathers was quite striking.
Level 2,sermon,ser-muhn,"noun: a serious talk, usually one preached in church",Yesterday's sermon was about loving your neighbour.
Level 2,serum,sear-ruhm,noun: a fluid obtained from the blood of an animal which has been rendered immune to some disease by inoculation,The doctors injected a serum to counteract the poison in her system.
Level 2,service,ser-vuhs,noun: the supplying of something useful to a community,A new bus service now goes to the stadium when sporting matches are on.
Level 2,slather,sladh-uh,verb: to use thickly or in large quantities,Before we were allowed to go to the beach we had to slather on lots of sunscreen.
Level 2,sneeze,sneez,verb: to involuntarily blow air noisily out of your mouth and nose,The pollen from wattle always makes me sneeze.
Level 2,sonar,soh-nah,noun: a device for finding depth under water by measuring the time it takes to receive an echo from a sound,The navy used sonar to locate the missing submarine.
Level 2,source,sawce,noun: the place or thing from which something comes,Those countries are the main source of the world's oil.
Level 2,squirt,skwert,verb: to force out a jet of liquid through a narrow opening,I had to squeeze the bottle hard to squirt the last of the sauce out.
Level 2,stifling,stuyf-ling,adjective: oppressively airless or hot,There was a stifling atmosphere inside the crowded hall.
Level 2,stork,stawk,"noun: a large bird with long legs and a long beak, which feeds in shallow water",The stork waded through the water looking for food.
Level 2,strange,straynj,adjective: unusual or not what you would expect,She had a very strange habit of hopping on one foot when she was nervous.
Level 2,sublime,suh-bluym,"adjective: uplifting in thought, language, bearing, and so on",The musical performance was sublime and received a standing ovation.
Level 2,suggest,suh-jest,verb: to put forward an idea or plan,I suggest we divide into groups for this project.
Level 2,sullen,sul-uhn,"adjective: angry, silent, and ill-mannered",Sometimes my big sister is sullen and shuts her door so we can’t talk to her.
Level 2,survey,ser-vay or ser-vay,"verb: to determine the form, boundaries, position, extent, and so on, of something",Before we could build our new house we had to get an expert to survey the land.
Level 2,suture,sooh-chuh,verb: to join the edges of a wound by stitching or some similar process,The surgeon used a special type of thread to suture the wound closed.
Level 2,tadpole,tad-pohl,noun: a young frog or toad in the earliest stage of its life during which it develops legs and becomes able to leave the water,I think the biggest tadpole in the fish pond will turn into a frog today or tomorrow.
Level 2,talon,tal-uhn,"noun: a claw, especially of a bird of prey",The vet carefully examined the eagle's injured talon.
Level 2,tangle,tang-guhl,verb: to put or get in a confused muddle,Don't tangle the cords at the back of the computer or I won't know where to plug them all in.
Level 2,tantrum,tan-truhm,noun: a childish fit of temper or anger,My brother throws a tantrum whenever he doesn't get his own way.
Level 2,tardy,tah-dee,adjective: late or delayed,I apologised for my tardy reply and said that I would love to come to the party.
Level 2,tendon,ten-duhn,noun: a cord of strong tissue joining a muscle to a bone,It was his first tournament since severing the tendon in his ankle.
Level 2,tepid,tep-uhd,adjective: lukewarm or slightly warm,The water in his drink bottle was tepid because he had left it in the sun.
Level 2,thicket,thik-uht,noun: a dense growth of shrubs or small trees,The rabbit fled into the thicket for cover.
Level 2,thought,thawt,noun: an idea,I've just had a thought that might solve the problem.
Level 2,thousand,thow-zuhnd,adjective: amounting to one more than 999 in number,There were more than a thousand people at the game.
Level 2,tiara,tee-ah-ruh,noun: a piece of jewellery that looks like a tiny crown,She wore a diamond tiara in her hair.
Level 2,torment,taw-ment,verb: to worry or annoy someone greatly,Thoughts of the accident still torment him.
Level 2,trek,trek,"verb: to walk or travel, especially over a long distance or with much difficulty","They began to trek through the jungle, looking for a way to the coast."
Level 2,trinket,tring-kuht,noun: a cheap ornament,I bought a pretty trinket from a stall at the street market.
Level 2,trite,truyt,adjective: repeated too often,The film star was sick of always being asked such trite questions.
Level 2,underdog,un-duh-dog,"noun: the expected loser in a competition, fight, etc.",My sister always barracks for the underdog.
Level 2,unite,yooh-nuyt,"verb: to join together, becoming one thing",The two clubs will unite to form one large club.
Level 2,unseemly,un-seem-lee,adjective: not proper or decent,Jason's unseemly language got him into trouble.
Level 2,untidy,un-tuy-dee,adjective: not neat,His clothes were in an untidy heap on the floor.
Level 2,upset,up-set,verb: to make someone feel sad or hurt,Sad movies always upset me.
Level 2,useless,yoohs-luhs,adjective: not being of any use or not achieving anything,It was useless to try and help her because she wouldn't take any advice.
Level 2,vacate,vay-kayt,verb: to leave a place,We had to vacate our hotel room by 10 o'clock.
Level 2,vampire,vam-puy-uh,"noun: an imaginary, supernatural being, believed to be a dead person come back to life, who sucks blood from living people during the night","I don't believe there is such a thing as a vampire, but I still wouldn't want to see one!"
Level 2,vessel,vess-uhl,noun: a ship or boat,A rescue vessel was sent out for the survivors.
Level 2,victor,vik-tuh,noun: someone who has defeated an enemy,The victor led the army through the vanquished city.
Level 2,villa,vil-uh,"noun: a country house, usually a large or important one, especially in a Mediterranean country",They spent a wonderful holiday living in a Spanish villa for a few months.
Level 2,virtue,ver-chooh,noun: a good quality,The debate was about whether cleanliness or honesty was the most important virtue.
Level 2,vital,vuy-tuhl,adjective: necessary or very important,It was vital to find a new drummer for the band.
